RM_ERRECHNETE_RAUMTEMPERATUR_DSP_POINT_ID_Value,RM_RBG_RAUMTEMPERATUR_POINT_ID_Value,RM_ANSTEUERUNG_DSP_VENTIL_POINT_ID_Value,DSP_FLOOR_DISTRIBUTOR_FLUX_FLUX_ID_Value,DSP_FLOOR_DISTRIBUTOR_RUECKLAUFTEMPERATUR_EQUIPMENT_ID_Value,DSP_FLOOR_DISTRIBUTOR_VORLAUFTEMPERATUR_EQUIPMENT_ID_Value,DSP_FLOOR_DISTRIBUTOR_LEISTUNG_EQUIPMENT_ID_Value,DSP_HK_CIRCUIT_DURCHFLUSS_EQUIP_ID_Value,DSP_HK_CIRCUIT_LEISTUNG_EQUIP_ID_Value,DSP_KK_CIRCUIT__24A1_AUSSENTEMPERATUR_EQUIP_ID_Value,DSP_KK_CIRCUIT_DS_VL_TEMPERATUR_EQUIP_ID_Value,DSP_KK_CIRCUIT_DS_RL_TEMPERATUR_EQUIP_ID_Value,DSP_KK_CIRCUIT_DS_VENTIL_V2_MISCHVENTIL__EQUIP_ID_Value,sunhour_value,timestamp
22,20.864208,100,1.2240001,28.949999,33.739998,6,4.168,20,-0.1371144,34.02865,29.549,100,0,2021-02-09T09:30:00.0000000Z
22,20.864208,100,1.2,29.269999,34.05,6.5,4.1600003,21.4,-0.46876243,34.128025,29.76072,100,0,2021-02-09T09:45:00.0000000Z
22,20.96869,100,1.215,29.449999,33.86,6.1,4.019,19.800001,0.3638503,34.44409,30.073793,100,0,2021-02-09T10:00:00.0000000Z
22,20.96869,100,1.212,29.519999,34.35,6.7000003,3.936,18.800001,0.4408766,34.651703,30.175114,100,0,2021-02-09T10:15:00.0000000Z
22,20.96869,100,1.23,29.72,34.57,6.5,3.92,19.2,0.6009556,34.64492,30.280035,100,0,2021-02-09T10:30:00.0000000Z
22,20.96869,96.328354,1.2240001,29.789999,34.23,6.2000003,3.92,19.800001,0.86390066,34.54501,30.386961,100,0,2021-02-09T10:45:00.0000000Z
22,21.073433,96.328354,1.199,29.769999,29.96,0.2,3.9210002,9.7,0.8552348,31.769066,30.386961,100,0,2021-02-09T11:00:00.0000000Z
22,21.073433,96.328354,1.212,28.31,32.94,6.5,3.8810003,19.9,0.6634183,33.370926,28.716251,100,0,2021-02-09T11:15:00.0000000Z
22,21.073433,96.328354,1.2240001,29.119999,33.5,6.5,3.9500003,20.5,0.504092,33.892216,29.551813,100,0,2021-02-09T11:30:00.0000000Z
22,21.073433,96.328354,1.212,29.289999,34.01,6.5,4.0410004,19.2,0.36356983,34.31489,30.073793,100,0,2021-02-09T11:45:00.0000000Z
